"ACT composite score","SAT total score","parental level of education","parental income","high school gpa","college gpa","years to graduate"
"30","2206","master's degree","94873","4.0","3.8","3"
"26","1953","some college","42767","3.6","2.7","9"
"28","2115","some high school","46316","4.0","3.3","5"
"33","2110","some high school","52370","4.0","3.5","4"
"30","2168","bachelor's degree","92665","4.0","3.6","4"
"25","1854","bachelor's degree","76340","3.5","3.3","4"
"30","2016","associate's degree","65867","3.8","3.7","3"
"23","1722","high school","64495","3.0","3.3","5"
"27","1880","some college","78662","3.5","3.3","4"
"28","1994","associate's degree","61772","3.7","3.4","4"
"32","2225","associate's degree","84872","4.0","3.8","4"
"29","2099","some college","59881","4.0","3.5","4"
"28","1970","some college","70274","3.6","3.7","7"
"28","1973","some high school","50777","3.6","3.0","9"
"30","2027","bachelor's degree","68641","3.9","3.7","3"
"30","2110","associate's degree","83889","4.0","3.7","3"
"30","2123","high school","43775","4.0","3.3","6"
"29","2012","some high school","43252","3.8","3.5","4"
"20","1556","high school","35045","2.9","3.1","8"
"28","2012","associate's degree","46312","3.9","3.1","6"
"26","1853","high school","50104","3.4","3.2","4"
"28","1955","high school","61843","3.6","3.2","5"
"28","2080","some high school","44574","3.8","3.3","5"
"27","1944","some college","55924","3.8","3.3","6"
"30","1917","high school","34236","3.7","3.0","6"
"27","2020","some college","77246","3.8","3.5","7"
"28","1900","bachelor's degree","109268","3.7","3.6","5"
"28","2058","master's degree","96573","3.9","3.6","4"
"31","2098","associate's degree","59342","4.0","3.4","4"
"30","2129","bachelor's degree","61673","4.0","3.4","4"
"26","1916","some college","53951","3.5","3.2","5"
"32","2113","some college","83790","4.0","3.5","4"
"30","2057","some high school","36417","3.9","3.3","7"
"30","1938","high school","62408","3.8","3.6","5"
"25","1846","some college","63766","3.3","3.1","6"
"29","2051","associate's degree","103448","4.0","3.3","5"
"28","1901","high school","52303","3.4","3.3","4"
"34","2363","master's degree","90775","4.0","3.6","4"
"31","2137","high school","78209","4.0","3.6","4"
"27","1976","associate's degree","61095","3.6","3.3","4"
"31","2226","some college","62106","4.0","3.5","4"
"33","2087","high school","64036","4.0","3.6","4"
"27","1887","some high school","52376","3.5","3.2","4"
"29","2010","some college","72543","3.9","3.2","5"
"27","1923","high school","39928","3.6","3.3","5"
"25","1772","some high school","41330","3.3","2.7","8"
"33","2266","some college","58202","4.0","3.5","4"
"25","1770","some high school","30912","3.2","3.0","7"
"25","1815","bachelor's degree","85050","3.4","3.5","3"
"30","2052","some college","62938","4.0","3.5","4"
"31","2082","associate's degree","103707","4.0","3.9","6"
"29","2020","some college","64155","4.0","3.4","6"
"26","1825","some college","73755","3.3","3.0","5"
"25","1823","some high school","35101","3.2","2.9","7"
"26","1869","some high school","60561","3.4","3.2","4"
"27","1914","high school","41696","3.5","3.4","6"
"32","2043","high school","67559","3.9","3.7","3"
"27","1958","high school","78607","3.5","3.4","4"
"26","1874","associate's degree","94849","3.5","3.6","6"
"26","1955","some college","48315","3.4","3.5","4"
"26","1879","some high school","36954","3.5","2.9","7"
"31","2213","associate's degree","67103","4.0","3.5","6"
"29","1979","some high school","46971","3.7","3.4","5"
"28","2016","some high school","25286","3.8","3.2","6"
"29","1966","high school","68429","3.8","3.5","4"
"32","2161","master's degree","75974","4.0","3.8","3"
"28","1966","some high school","60277","3.7","3.5","3"
"32","2090","some college","48111","4.0","3.1","6"
"26","1882","high school","38406","3.5","3.3","9"
"27","1878","some high school","39627","3.4","3.2","7"
"30","2082","associate's degree","70542","4.0","3.7","6"
"24","1799","some high school","47642","3.2","3.0","6"
"31","2088","some college","52308","4.0","3.5","4"
"26","1808","some high school","63384","3.3","3.0","5"
"27","1998","associate's degree","78942","3.7","3.4","4"
"32","2235","associate's degree","81917","4.0","3.5","4"
"30","1976","associate's degree","77523","3.9","3.6","4"
"31","2147","associate's degree","72406","4.0","3.5","5"
"30","2089","associate's degree","92152","3.9","3.1","5"
"26","1780","some high school","56465","3.3","3.1","5"
"27","1913","some college","87422","3.5","3.3","4"
"28","2025","high school","70982","3.7","3.3","7"
"26","1847","some college","33990","3.4","3.2","5"
"30","2168","associate's degree","86210","4.0","3.4","6"
"26","1850","high school","33501","3.5","3.2","7"
"25","1769","high school","63120","3.2","3.0","5"
"28","1874","associate's degree","85002","3.7","3.1","5"
"34","2169","associate's degree","64046","4.0","3.8","3"
"33","2266","associate's degree","73048","4.0","3.7","6"
"33","2226","some college","67941","4.0","3.3","5"
"28","2014","associate's degree","72934","3.7","3.3","5"
"29","2145","associate's degree","85913","3.9","3.4","5"
"30","2074","some college","38704","3.9","3.4","4"
"28","1909","some high school","49866","3.6","3.1","5"
"34","2159","bachelor's degree","87743","4.0","3.6","4"
"29","2005","bachelor's degree","72926","3.7","3.3","4"
"25","1771","high school","71629","3.1","3.5","5"
"27","1959","bachelor's degree","102783","3.6","3.8","3"
"26","1875","some high school","56066","3.5","3.5","4"
"30","2223","master's degree","85135","4.0","3.8","3"
"26","1868","high school","75304","3.4","3.3","4"
"34","2211","associate's degree","75721","4.0","3.8","3"
"25","1943","some college","64497","3.4","3.3","5"
"27","1893","some high school","70410","3.6","3.3","4"
"29","1935","bachelor's degree","84186","3.6","3.2","5"
"30","2098","associate's degree","99468","4.0","3.5","4"
"20","1541","high school","75813","2.7","3.1","5"
"25","1726","some high school","29133","3.2","3.2","4"
"31","2007","associate's degree","58774","3.8","3.5","4"
"26","1821","some high school","60851","3.3","3.3","6"
"30","1866","some high school","72327","3.7","3.4","8"
"32","2182","associate's degree","76746","4.0","3.9","4"
"31","2100","master's degree","104132","4.0","3.6","4"
"32","2185","associate's degree","79885","4.0","3.7","4"
"27","1981","bachelor's degree","77531","3.8","3.3","5"
"28","1954","associate's degree","85679","3.7","3.8","3"
"27","1826","some high school","32950","3.4","3.2","5"
"29","2042","some college","43689","3.9","3.3","5"
"27","1897","high school","44275","3.4","3.1","5"
"28","1977","some college","44576","3.8","3.1","5"
"29","2028","some college","91796","3.8","3.4","6"
"25","1847","associate's degree","77787","3.3","3.2","6"
"31","2067","high school","59182","4.0","3.3","5"
"29","2102","associate's degree","64242","4.0","3.4","5"
"31","2002","associate's degree","70316","4.0","3.7","4"
"27","2011","some college","62802","3.7","3.4","4"
"35","2281","associate's degree","69554","4.0","3.7","5"
"28","1925","bachelor's degree","78666","3.7","3.1","6"
"29","1930","some high school","48307","3.7","3.5","4"
"28","2078","high school","61970","3.8","3.6","5"
"28","1963","some high school","46871","3.7","3.3","8"
"30","2034","high school","86158","4.0","3.5","4"
"30","2060","bachelor's degree","66590","4.0","3.1","5"
"28","1913","associate's degree","82409","3.6","3.2","5"
"29","2112","master's degree","90516","4.0","3.6","4"
"29","1979","some high school","27413","3.7","3.4","6"
"27","1918","some high school","52803","3.4","3.1","6"
"31","2107","high school","51923","4.0","3.3","4"
"27","1895","associate's degree","69905","3.5","2.9","6"
"31","2071","some college","61181","3.9","3.6","7"
"30","2041","associate's degree","82076","3.9","3.5","4"
"29","2000","some high school","49046","3.8","3.0","6"
"25","1766","high school","46495","3.2","3.2","5"
"31","2140","high school","64321","4.0","3.8","3"
"28","2070","bachelor's degree","78371","3.8","3.4","4"
"30","1993","high school","73313","3.7","3.4","4"
"29","1958","associate's degree","58901","3.7","3.2","8"
"28","1978","high school","55574","3.8","3.6","5"
"25","1863","master's degree","94395","3.5","3.4","4"
"30","2117","associate's degree","67982","3.9","3.6","3"
"29","1938","master's degree","89236","3.7","3.1","7"
"30","2019","high school","45021","3.9","3.7","4"
"30","2089","some college","93616","4.0","3.3","5"
"27","1915","bachelor's degree","82506","3.6","3.3","4"
"32","2107","high school","66501","4.0","3.5","4"
"27","1898","bachelor's degree","98690","3.6","3.4","4"
"30","2160","some college","64647","4.0","3.4","4"
"28","2030","high school","42233","3.8","3.2","5"
"28","1961","bachelor's degree","109855","3.8","3.3","5"
"23","1834","high school","41587","3.3","3.2","5"
"32","2175","high school","54790","4.0","3.6","3"
"36","2397","master's degree","94847","4.0","4.0","4"
"25","1730","some high school","56059","3.1","3.2","4"
"29","1867","associate's degree","100127","3.5","3.4","5"
"31","2071","some college","62719","4.0","3.3","4"
"28","1979","master's degree","89640","3.7","3.2","7"
"32","2147","bachelor's degree","75160","4.0","3.5","4"
"34","2259","bachelor's degree","76836","4.0","3.6","4"
"29","1981","high school","61863","3.7","3.3","5"
"30","2057","some college","79623","4.0","3.5","4"
"26","1858","some college","50625","3.3","3.4","3"
"31","2011","some high school","1882","4.0","3.0","6"
"32","2123","associate's degree","62315","4.0","3.7","5"
"30","2102","bachelor's degree","88940","4.0","3.6","4"
"27","1991","associate's degree","76421","3.8","3.6","7"
"29","2058","master's degree","87849","3.9","3.6","6"
"29","2011","associate's degree","61145","3.8","3.4","5"
"26","1922","some college","76504","3.6","3.4","6"
"30","2085","associate's degree","74072","3.9","3.5","4"
"28","1889","some high school","28404","3.6","2.9","6"
"29","2011","associate's degree","77576","3.8","3.7","3"
"30","2019","bachelor's degree","77388","3.9","3.4","4"
"30","1976","associate's degree","72455","3.9","3.1","5"
"27","1941","some high school","36873","3.6","3.0","7"
"30","1945","high school","53952","3.7","3.4","5"
"32","2148","associate's degree","64404","4.0","3.6","4"
"25","1771","high school","73226","3.3","3.1","7"
"33","2091","associate's degree","65046","4.0","3.6","7"
"29","1972","high school","81714","3.7","3.5","4"
"30","2012","associate's degree","66891","3.9","3.4","4"
"29","1967","some college","77421","3.7","3.5","4"
"26","1955","associate's degree","64700","3.5","3.2","4"
"36","2314","master's degree","99294","4.0","3.9","4"
"28","2016","associate's degree","79966","3.6","3.6","4"
"27","1877","some high school","53576","3.4","3.2","4"
"30","2215","master's degree","94446","4.0","3.8","8"
"28","2007","some college","66790","3.9","3.4","4"
"28","2020","some college","42849","3.8","2.9","10"
"29","1992","some college","39377","3.7","3.2","5"
"23","1828","some high school","45358","3.3","2.9","10"
"29","2024","associate's degree","64686","3.9","3.4","4"
"32","2073","high school","43563","4.0","3.5","5"
"30","2016","associate's degree","69975","3.9","3.6","4"
"33","2153","associate's degree","55966","4.0","3.2","7"
"29","1993","high school","61363","3.7","3.2","5"
"32","2194","bachelor's degree","107848","4.0","3.7","4"
"26","1922","master's degree","89918","3.7","3.6","6"
"29","2083","some college","76699","3.9","3.2","5"
"31","2070","some high school","28668","3.9","3.3","5"
"29","1967","bachelor's degree","106796","3.9","3.3","5"
"31","2155","master's degree","79974","4.0","3.6","4"
"27","2006","associate's degree","68680","3.7","3.7","5"
"31","2117","high school","24885","3.9","3.4","5"
"31","2064","high school","47589","3.9","3.2","6"
"29","2047","some high school","42201","3.8","3.3","7"
"26","1944","bachelor's degree","74758","3.7","3.4","5"
"30","1921","some high school","72315","3.6","3.3","4"
"30","2124","some college","54559","4.0","3.2","6"
"27","1871","some college","56351","3.4","2.9","7"
"27","1947","high school","56718","3.6","3.4","8"
"28","1913","some college","78275","3.5","3.5","3"
"31","2122","some college","64531","3.9","3.2","4"
"28","2071","bachelor's degree","71902","3.9","3.7","3"
"29","2084","associate's degree","97716","3.9","3.5","4"
"33","2137","high school","57963","4.0","3.3","5"
"26","1980","some high school","48460","3.5","3.3","7"
"26","1864","high school","61865","3.4","3.4","6"
"29","2025","some college","56885","3.8","3.3","6"
"23","1644","associate's degree","101997","2.8","3.2","9"
"31","2166","master's degree","96406","4.0","3.9","5"
"29","2013","some college","36052","3.8","3.2","6"
"28","1929","some high school","67913","3.6","3.2","4"
"28","2132","bachelor's degree","73340","4.0","3.4","4"
"31","2016","high school","50051","3.9","3.4","4"
"25","1792","high school","58898","3.1","2.9","6"
"29","2083","associate's degree","66057","3.8","3.0","5"
"26","1768","some college","80143","3.2","3.0","5"
"29","2014","associate's degree","54252","4.0","3.2","6"
"30","2065","high school","100231","3.9","3.9","6"
"29","2115","master's degree","100882","4.0","3.4","7"
"26","1803","some high school","52962","3.2","3.4","4"
"25","1882","associate's degree","84108","3.5","3.3","4"
"27","1901","some college","97695","3.6","3.5","8"
"29","2083","bachelor's degree","68197","4.0","3.4","5"
"28","1999","some high school","55914","3.8","3.3","4"
"32","2235","bachelor's degree","108965","4.0","3.6","6"
"29","1982","high school","58541","3.8","3.2","5"
"27","1997","associate's degree","107363","3.7","3.4","4"
"30","2039","master's degree","70001","4.0","3.5","7"
"22","1708","some college","97947","3.0","3.2","5"
"26","1945","some high school","43802","3.6","3.1","5"
"32","2202","some high school","30196","4.0","3.4","6"
"29","1955","some high school","70816","3.8","3.5","5"
"26","1816","some high school","40590","3.3","3.0","6"
"33","2202","associate's degree","98017","4.0","3.6","4"
"26","1910","some high school","54363","3.4","3.2","4"
"28","1995","associate's degree","77381","3.8","3.2","5"
"28","1903","some high school","61215","3.5","3.2","6"
"31","2167","some college","66472","4.0","3.2","6"
"29","2041","bachelor's degree","98372","3.8","3.3","8"
"28","2010","some high school","33067","3.7","2.9","6"
"30","2079","some college","54455","4.0","3.5","5"
"27","1998","associate's degree","83249","3.7","3.8","3"
"29","1953","some college","69667","3.8","3.5","4"
"24","1760","some high school","44221","3.3","2.9","6"
"28","1861","some college","53318","3.5","3.5","6"
"25","1800","some high school","83956","3.3","3.6","3"
"26","1829","some high school","71596","3.4","3.3","7"
"31","2032","high school","75104","3.9","3.7","3"
"33","2210","high school","45109","4.0","3.5","5"
"27","1799","some high school","61071","3.5","3.3","4"
"22","1699","some high school","61529","3.0","2.7","5"
"27","1858","some high school","59843","3.4","3.6","3"
"26","1801","some high school","61755","3.4","3.2","6"
"34","2154","some college","74984","4.0","3.7","6"
"29","2009","some college","40989","3.8","3.1","5"
"32","2103","associate's degree","61319","4.0","3.5","4"
"26","1857","some high school","59205","3.3","3.1","4"
"31","2191","some college","42188","4.0","3.3","6"
"31","2184","bachelor's degree","84524","4.0","3.7","4"
"22","1712","some college","59960","3.0","2.7","7"
"29","2065","master's degree","90921","3.9","3.8","4"
"31","2036","high school","63652","3.9","3.4","4"
"30","2006","some high school","63137","3.9","3.4","5"
"30","2046","high school","56000","3.8","3.3","7"
"30","2033","associate's degree","59819","3.6","3.5","4"
"31","2056","some college","62875","4.0","3.6","3"
"25","1764","bachelor's degree","91564","3.4","3.3","6"
"26","1943","some college","36700","3.7","3.3","5"
"31","2109","associate's degree","79351","4.0","3.6","4"
"24","1731","some high school","53178","3.0","3.2","4"
"28","1968","some high school","49920","3.8","3.2","7"
"35","2226","some college","64213","4.0","3.5","6"
"29","1946","associate's degree","72344","3.7","3.6","6"
"27","1869","some college","52017","3.5","3.3","5"
"32","2117","high school","40956","4.0","3.5","8"
"28","2114","associate's degree","92268","4.0","3.2","5"
"28","2067","bachelor's degree","85029","3.9","3.7","3"
"29","1935","high school","51202","3.6","3.5","6"
"29","2083","associate's degree","68615","3.8","3.4","4"
"30","2130","bachelor's degree","59659","4.0","3.0","5"
"29","2006","associate's degree","73656","4.0","3.0","5"
"27","2014","some college","72835","3.6","3.0","7"
"28","1956","some college","47841","3.8","3.4","6"
"33","2160","some college","39926","4.0","3.5","5"
"27","1812","some high school","52889","3.3","3.2","8"
"22","1772","some high school","44859","3.0","3.1","8"
"29","1887","high school","47995","3.6","3.4","5"
"29","2052","bachelor's degree","91467","3.9","3.6","4"
"28","1905","some high school","27528","3.6","3.2","5"
"29","2054","some college","71505","3.9","3.5","4"
"27","1938","high school","64741","3.5","3.3","4"
"26","1761","high school","59872","3.2","3.4","4"
"34","2201","bachelor's degree","86435","4.0","3.7","4"
"33","2215","associate's degree","80341","4.0","3.7","4"
"30","2007","associate's degree","69775","3.8","3.7","4"
"26","2034","bachelor's degree","92349","3.8","3.3","8"
"27","1942","some high school","31642","3.7","3.0","6"
"29","2042","high school","66029","3.8","3.3","4"
"27","1846","high school","73615","3.5","3.5","5"
"34","2236","associate's degree","112070","4.0","3.9","5"
"26","1808","some high school","55651","3.3","3.1","4"
"27","1949","some high school","55156","3.6","3.6","3"
"24","1651","some high school","43453","3.0","2.9","8"
"27","1919","high school","52403","3.6","3.6","3"
"29","2046","high school","28024","3.8","3.1","8"
"30","2009","some college","86099","3.8","3.5","4"
"29","2106","master's degree","98315","3.9","3.5","4"
"29","1985","some college","27421","3.8","3.2","5"
"25","1820","high school","61938","3.4","3.5","3"
"29","2046","high school","42342","3.8","3.5","4"
"26","1843","high school","63490","3.6","3.2","5"
"29","2017","some high school","63617","3.9","3.4","6"
"29","2016","bachelor's degree","73433","3.9","3.3","6"
"30","2106","associate's degree","60394","4.0","3.4","5"
"22","1772","some high school","29244","3.0","3.1","4"
"32","2158","high school","57153","4.0","3.3","6"
"30","2075","some college","63526","4.0","3.4","6"
"25","1980","bachelor's degree","113585","3.7","3.4","6"
"31","2144","associate's degree","69482","4.0","3.4","4"
"30","2058","associate's degree","77142","4.0","3.4","6"
"31","2117","associate's degree","70886","3.9","3.2","5"
"28","1921","some college","60712","3.8","3.4","4"
"29","2023","high school","45644","3.9","3.0","6"
"31","2200","bachelor's degree","82049","4.0","3.5","4"
"25","1803","high school","40940","3.3","3.1","5"
"29","1816","some high school","17706","3.5","3.3","5"
"29","2063","associate's degree","76478","4.0","3.8","4"
"30","2124","some college","80463","4.0","3.6","7"
"26","1759","some high school","39992","3.2","2.9","6"
"30","1929","some high school","53374","3.6","3.0","5"
"34","2298","bachelor's degree","87446","4.0","3.3","5"
"31","2185","associate's degree","75932","4.0","3.9","3"
"20","1646","bachelor's degree","64927","3.0","2.8","6"
"22","1618","high school","52824","3.0","3.2","4"
"29","2069","bachelor's degree","63225","4.0","3.3","4"
"31","2060","some college","66720","4.0","3.4","4"
"28","1993","some college","66277","3.8","3.4","4"
"26","1887","high school","80295","3.6","3.4","7"
"27","1894","some high school","39924","3.4","3.4","4"
"31","2156","master's degree","108696","4.0","3.4","5"
"30","2025","high school","64205","3.7","3.2","5"
"29","1927","associate's degree","60562","3.8","3.3","8"
"28","2037","bachelor's degree","96147","4.0","3.7","4"
"28","1952","high school","50280","3.7","3.2","4"
"24","1808","some high school","55204","3.3","3.2","6"
"28","1963","some college","62869","3.7","3.3","4"
"30","2036","associate's degree","67534","3.9","3.3","4"
"26","1936","some high school","61683","3.6","3.2","4"
"33","2187","some college","65391","4.0","3.6","3"
"21","1714","associate's degree","89275","2.9","3.1","4"
"31","2112","high school","57875","3.9","3.2","5"
"27","1874","some college","70845","3.6","3.5","4"
"32","2160","high school","70178","4.0","3.7","5"
"28","1986","high school","72138","3.8","3.6","3"
"30","2074","associate's degree","65957","4.0","3.3","5"
"24","1811","some college","66946","3.2","3.3","4"
"29","2003","associate's degree","55251","3.8","3.2","7"
"30","2219","master's degree","109282","4.0","4.0","5"
"26","1845","associate's degree","63819","3.4","3.5","7"
"31","2038","some high school","93436","3.9","3.5","4"
"24","1727","some high school","78872","3.2","3.3","4"
"31","2216","master's degree","84462","4.0","3.6","4"
"27","1959","high school","38875","3.6","3.5","4"
"25","1853","some high school","55649","3.4","3.3","4"
"26","1865","some college","62390","3.6","3.1","4"
"29","2074","bachelor's degree","85791","3.8","3.8","3"
"27","1798","some high school","34737","3.4","3.3","5"
"26","1974","bachelor's degree","68095","3.6","3.1","7"
"29","2074","some college","74142","3.9","3.6","4"
"26","1921","some college","49711","3.6","3.2","5"
"25","1907","high school","69095","3.3","3.3","4"
"28","1930","associate's degree","46786","3.7","3.4","5"
"25","1860","bachelor's degree","101593","3.4","2.9","5"
"33","2082","some college","55852","4.0","3.5","6"
"34","2196","master's degree","81790","4.0","3.6","4"
"27","1815","some college","61509","3.4","3.5","5"
"28","1986","some college","68858","3.6","3.7","3"
"25","1822","some high school","48080","3.4","3.4","6"
"26","1919","some college","84154","3.4","3.2","6"
"35","2310","master's degree","99331","4.0","3.9","5"
"28","1964","some high school","28499","3.6","2.9","10"
"28","1873","high school","67384","3.4","3.3","4"
"26","1912","high school","54083","3.4","3.1","8"
"31","2136","associate's degree","92173","4.0","3.3","5"
"27","1935","some college","71887","3.7","3.5","5"
"33","2227","some college","52160","4.0","3.3","6"
"28","1971","some high school","55055","3.7","3.3","4"
"23","1845","associate's degree","84248","3.2","3.0","7"
"29","1974","high school","34085","3.8","3.3","6"
"29","2034","some college","65918","3.9","3.5","3"
"31","2108","master's degree","120391","4.0","3.6","4"
"33","2208","some college","80092","4.0","3.6","4"
"35","2330","associate's degree","65312","4.0","3.5","6"
"28","1932","bachelor's degree","78864","3.7","3.4","6"
"28","1962","master's degree","96012","3.6","3.7","5"
"31","2076","high school","55690","3.9","3.2","8"
"32","2165","high school","53501","4.0","3.0","5"
"28","2012","master's degree","83368","3.8","3.1","8"
"31","2058","bachelor's degree","104830","4.0","3.7","5"
"28","2097","master's degree","59724","3.9","3.2","4"
"30","2198","bachelor's degree","108200","4.0","3.8","3"
"28","2016","master's degree","101272","3.8","3.5","4"
"26","1822","some high school","62627","3.4","3.2","7"
"24","1806","bachelor's degree","80629","3.3","3.4","3"
"24","1832","some college","53732","3.2","3.0","4"
"26","1851","some college","77335","3.4","3.5","3"
"28","1977","some college","79148","3.8","3.2","7"
"29","2055","associate's degree","75191","3.8","3.4","4"
"26","1917","high school","89176","3.4","3.5","5"
"28","2087","high school","35066","3.8","3.3","8"
"24","1647","some high school","57395","3.0","3.0","4"
"31","2066","some college","49906","3.9","3.5","4"
"27","1978","some high school","15562","3.7","3.2","9"
"30","2139","some college","60211","4.0","3.6","3"
"26","1815","some college","33595","3.4","3.4","5"
"29","1917","bachelor's degree","87199","3.7","3.3","4"
"33","2318","some college","62982","4.0","3.4","6"
"28","1970","bachelor's degree","87342","3.8","3.4","6"
"33","2283","associate's degree","57732","4.0","3.8","3"
"28","2016","some college","96458","3.8","3.7","3"
"33","2270","associate's degree","77690","4.0","3.7","6"
"28","2097","master's degree","108158","3.8","3.4","4"
"33","2245","associate's degree","69072","4.0","3.4","7"
"28","1982","some college","67557","3.6","3.6","3"
"28","1937","associate's degree","88816","3.7","3.2","5"
"28","2081","master's degree","91100","3.9","3.4","8"
"31","2147","associate's degree","54090","4.0","3.5","4"
"29","1989","some college","36427","3.8","3.4","4"
"28","1974","master's degree","108486","3.9","3.6","4"
"27","1902","high school","28087","3.5","3.2","5"
"25","1864","bachelor's degree","96634","3.4","3.5","3"
"30","2114","associate's degree","81540","4.0","3.6","8"
"27","1992","high school","43666","3.6","2.9","7"
"28","1964","associate's degree","77535","3.6","3.4","4"
"27","1923","associate's degree","80346","3.5","3.3","6"
"29","1967","associate's degree","67376","3.8","3.7","4"
"27","1902","some high school","46895","3.7","3.3","5"
"31","2126","some high school","27056","3.9","2.9","8"
"30","2139","associate's degree","94629","4.0","3.6","4"
"30","2104","associate's degree","58459","4.0","3.3","6"
"29","2085","some college","73005","4.0","3.8","4"
"29","2062","bachelor's degree","92770","3.8","3.6","4"
"33","2192","associate's degree","63583","4.0","3.5","4"
"28","2018","high school","48133","3.8","3.1","6"
"30","1983","some high school","48478","3.8","3.3","5"
"29","1974","high school","90267","3.8","3.6","4"
"29","1955","high school","37492","3.6","3.0","6"
"30","2012","associate's degree","67913","3.8","3.1","5"
"25","1783","some high school","63923","3.2","3.1","5"
"31","2143","some college","51679","4.0","3.2","5"
"32","2142","associate's degree","99974","4.0","3.8","4"
"28","1990","some college","37461","3.9","3.3","8"
"29","1974","some high school","57295","3.7","3.2","4"
"26","2025","some high school","49569","3.6","3.3","7"
"30","2052","associate's degree","85424","3.9","3.4","4"
"24","1691","some high school","45829","3.0","3.1","5"
"27","1893","high school","64833","3.5","3.6","3"
"30","1980","associate's degree","63420","3.9","3.3","5"
"27","1967","some college","61955","3.7","3.2","5"
"27","1956","bachelor's degree","57454","3.4","2.9","6"
"31","2020","some college","54004","4.0","3.4","7"
"29","1917","some college","60906","3.5","3.5","3"
"34","2274","associate's degree","89882","4.0","3.8","4"
"26","1935","high school","64166","3.6","3.6","3"
"26","1884","some high school","47336","3.5","3.1","5"
"27","1992","some college","35467","3.8","3.1","5"
"29","2194","master's degree","100855","4.0","3.8","3"
"27","1992","some college","61372","3.7","3.0","5"
"27","1971","some college","74884","3.7","3.4","4"
"31","2111","bachelor's degree","74811","4.0","3.3","7"
"28","2014","bachelor's degree","68936","3.8","3.6","3"
"27","1833","some high school","62106","3.3","3.0","7"
"26","2012","some college","83694","3.8","3.5","4"
"29","2016","some high school","69941","3.8","3.7","3"
"31","2047","master's degree","95413","4.0","3.5","4"
"28","2023","high school","36033","3.8","3.2","5"
